No.,Year,State,Process,Measure,killer,Compound,Value
1,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(AZOXYSTROBIN = 128810),1800.00
2,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482),0.00
3,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(BACILLUS SUBTILIS = 6479),0.00
4,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(BORAX DECAHYDRATE = 11102),0.00
5,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(BOSCALID = 128008),2300.00
6,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(CALCIUM POLYSULFIDE = 76702),20200.00
7,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(CAPTAN = 81301),44000.00
8,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(CHLOROTHALONIL = 81901),3900.00
9,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(COPPER CHLORIDE HYD. = 23501),0.00
10,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(COPPER HYDROXIDE = 23401),0.00
11,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(COPPER SULFATE = 24401),0.00
12,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(CYPRODINIL = 288202),1900.00
13,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(DIFENOCONAZOLE = 128847),0.00
14,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(FENBUCONAZOLE = 129011),500.00
15,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(FENHEXAMID = 90209),0.00
16,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(FLUDIOXONIL = 71503),1300.00
17,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(MEFENOXAM = 113502),0.00
18,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(METCONAZOLE = 125619),400.00
19,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(MONO-POTASSIUM SALT = 76416),9300.00
20,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(MYCLOBUTANIL = 128857),0.00
21,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(POLYOXIN D ZINC SALT = 230000),0.00
22,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(PROPICONAZOLE = 122101),1000.00
23,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(PROTHIOCONAZOLE = 113961),0.00
24,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(PYRACLOSTROBIN = 99100),1200.00
25,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(SULFUR = 77501),0.00
26,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(TEBUCONAZOLE = 128997),0.00
27,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(TOTAL),91400.00
28,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,FUNGICIDE,(TRICHODERMA HARZ. = 119202),0.00
29,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,"(2,4-D",0.00
30,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(AMMONIUM PELARGONATE = 31802),0.00
31,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(CLETHODIM = 121011),0.00
32,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(CLORANSULAM-METHYL = 129116),0.00
33,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(DIURON = 35505),1700.00
34,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(FLUMIOXAZIN = 129034),700.00
35,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(GLUFOSINATE-AMMONIUM = 128850),5400.00
36,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(GLYPHOSATE = 417300),0.00
37,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(GLYPHOSATE AMM. SALT = 103604),0.00
38,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(GLYPHOSATE ISO. SALT = 103601),7500.00
39,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(GLYPHOSATE POT. SALT = 103613),0.00
40,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(ORYZALIN = 104201),4000.00
41,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(OXYFLUORFEN = 111601),0.00
42,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(PARAQUAT = 61601),2500.00
43,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(PENOXSULAM = 119031),0.00
44,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(SIMAZINE = 80807),3900.00
45,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,HERBICIDE,(TOTAL),29800.00
46,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(ACEPHATE = 103301),0.00
47,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(ACETAMIPRID = 99050),200.00
48,2019,GEORGIA,APPLICATIONS, MEASURED IN LB,INSECTICIDE,(BIFENTHRIN = 128825),700.00
